,Transcript,Len,TranscriptClean,sent,TranscriptHighlights,VerbMatches,PrepMatches,SceneGraph,EmbeddedClauses
0,I'm unhappy with your support staff and want a refund,53,I'm unhappy with your support staff and want a refund,"[""I'm unhappy with your support staff and want a refund""]",['support staff'],['want'],['with your support staff'],"{'entities': [{'span': 'your support staff', 'lemma_span': '-PRON- support staff', 'head': 'support staff', 'lemma_head': 'support staff', 'span_bounds': (4, 7), 'modifiers': [], 'type': 'scene'}, {'span': 'a refund', 'lemma_span': 'a refund', 'head': 'refund', 'lemma_head': 'refund', 'span_bounds': (9, 11), 'modifiers': [{'dep': 'det', 'span': 'a', 'lemma_span': 'a'}], 'type': 'unknown'}], 'relations': []}",[]
1,What could be the issue here?,29,What could be the issue here?,"['What could be the issue here', '']",[],['could'],[],"{'entities': [{'span': 'What', 'lemma_span': 'what', 'head': 'What', 'lemma_head': 'what', 'span_bounds': (0, 1), 'modifiers': [], 'type': 'unknown'}, {'span': 'the issue', 'lemma_span': 'the issue', 'head': 'issue', 'lemma_head': 'issue', 'span_bounds': (3, 5), 'modifiers': [{'dep': 'det', 'span': 'the', 'lemma_span': 'the'}], 'type': 'unknown'}], 'relations': [{'subject': 0, 'object': 1, 'relation': 'be', 'lemma_relation': 'be'}]}",[['What be the issue']]
2,"Okay, this is a problem with Kunal for sure.",44,"Okay, this is a problem with Kunal for sure.","['Okay, this is a problem with Kunal for sure', '']",[],[],"['with Kunal', 'for sure']","{'entities': [{'span': 'a problem', 'lemma_span': 'a problem', 'head': 'problem', 'lemma_head': 'problem', 'span_bounds': (4, 6), 'modifiers': [{'dep': 'det', 'span': 'a', 'lemma_span': 'a'}], 'type': 'unknown'}, {'span': 'Kunal', 'lemma_span': 'Kunal', 'head': 'Kunal', 'lemma_head': 'Kunal', 'span_bounds': (7, 8), 'modifiers': [], 'type': 'unknown'}], 'relations': [{'subject': 0, 'object': 1, 'relation': 'with', 'lemma_relation': 'with'}]}",[['this is a problem']]
3,"No, we can't hear you. Yeah, I don't know.",42,"No, we can't hear you. Yeah, I don't know.","[""No, we can't hear you"", "" Yeah, I don't know"", '']",[],"['ca', 'hear', 'know']",[],"{'entities': [], 'relations': []}",[]
4,"Let us I connect the two bags and come back. Okay, I am going to leave and come back.",85,"Let us I connect the two bags and come back. Okay, I am going to leave and come back.","['Let us I connect the two bags and come back', ' Okay, I am going to leave and come back', '']",[],"['Let', 'connect', 'come', 'going', 'leave', 'come']",[],"{'entities': [{'span': 'the two bags', 'lemma_span': 'the two bag', 'head': 'bags', 'lemma_head': 'bag', 'span_bounds': (4, 7), 'modifiers': [{'dep': 'det', 'span': 'the', 'lemma_span': 'the'}, {'dep': 'nummod', 'span': 'two', 'lemma_span': 'two'}], 'type': 'unknown'}], 'relations': []}",[]
5,"Man, no, I still can't hear you.",32,"Man, no, I still can't hear you.","[""Man, no, I still can't hear you"", '']",[],"['still ca', 'hear']",[],"{'entities': [], 'relations': []}",[]
6,Yes now I can hear you. What did you do?,40,Yes now I can hear you. What did you do?,"['Yes now I can hear you', ' What did you do', '']",[],['can hear'],[],"{'entities': [{'span': 'What', 'lemma_span': 'what', 'head': 'What', 'lemma_head': 'what', 'span_bounds': (7, 8), 'modifiers': [], 'type': 'unknown'}], 'relations': []}",[]
7,"No, I just switched computers. I think something with my laptop too many audio settings in that so whatever. Look, dude, you're going on and off. Yeah, I think this is better. Yeah something with my laptop for sure. I don't know what I like.",241,"No, I just switched computers. I think something with my laptop too many audio settings in that so whatever. Look, dude, you're going on and off. Yeah, I think this is better. Yeah something with my laptop for sure. I don't know what I like.","['No, I just switched computers', ' I think something with my laptop too many audio settings in that so whatever', "" Look, dude, you're going on and off"", ' Yeah, I think this is better', ' Yeah something with my laptop for sure', "" I don't know what I like"", '']",[],"['just switched', 'think', 'Look', 'going', 'think', 'know', 'like']","['with my laptop', 'in that', 'on and off', 'with my laptop', 'for sure']","{'entities': [{'span': 'computers', 'lemma_span': 'computer', 'head': 'computers', 'lemma_head': 'computer', 'span_bounds': (5, 6), 'modifiers': [], 'type': 'unknown'}, {'span': 'something', 'lemma_span': 'something', 'head': 'something', 'lemma_head': 'something', 'span_bounds': (9, 10), 'modifiers': [], 'type': 'unknown'}, {'span': 'my laptop', 'lemma_span': '-PRON- laptop', 'head': 'laptop', 'lemma_head': 'laptop', 'span_bounds': (11, 13), 'modifiers': [], 'type': 'unknown'}, {'span': 'too many audio settings', 'lemma_span': 'too many audio setting', 'head': 'settings', 'lemma_head': 'setting', 'span_bounds': (13, 17), 'modifiers': [{'dep': 'amod', 'span': 'many', 'lemma_span': 'many'}, {'dep': 'amod', 'span': 'audio', 'lemma_span': 'audio'}], 'type': 'unknown'}, {'span': 'Yeah something', 'lemma_span': 'yeah something', 'head': 'something', 'lemma_head': 'something', 'span_bounds': (41, 43), 'modifiers': [], 'type': 'unknown'}, {'span': 'my laptop', 'lemma_span': '-PRON- laptop', 'head': 'laptop', 'lemma_head': 'laptop', 'span_bounds': (44, 46), 'modifiers': [], 'type': 'unknown'}, {'span': 'what', 'lemma_span': 'what', 'head': 'what', 'lemma_head': 'what', 'span_bounds': (53, 54), 'modifiers': [], 'type': 'unknown'}], 'relations': []}",[]
8,Now you're consistently stano. You still go on and off your in and out of this meeting?,87,Now you're consistently stano. You still go on and off your in and out of this meeting?,"[""Now you're consistently stano"", ' You still go on and off your in and out of this meeting', '']",[],['still go'],"['off your in and out of this meeting', 'of this meeting']","{'entities': [{'span': 'your in', 'lemma_span': '-PRON- in', 'head': 'in', 'lemma_head': 'in', 'span_bounds': (12, 14), 'modifiers': [], 'type': 'unknown'}, {'span': 'this meeting', 'lemma_span': 'this meeting', 'head': 'meeting', 'lemma_head': 'meeting', 'span_bounds': (17, 19), 'modifiers': [{'dep': 'det', 'span': 'this', 'lemma_span': 'this'}], 'type': 'unknown'}], 'relations': []}",[]
9,What do you mean like it's the name is flickering?,50,What do you mean like it the name is flickering?,"['What do you mean like it the name is flickering', '']",[],['mean'],[],"{'entities': [{'span': 'What', 'lemma_span': 'what', 'head': 'What', 'lemma_head': 'what', 'span_bounds': (0, 1), 'modifiers': [], 'type': 'unknown'}, {'span': 'the name', 'lemma_span': 'the name', 'head': 'name', 'lemma_head': 'name', 'span_bounds': (6, 8), 'modifiers': [{'dep': 'det', 'span': 'the', 'lemma_span': 'the'}], 'type': 'unknown'}], 'relations': []}",[['you mean What']]
