triplet1,triplet2,score,triplet3
huge Community,Cause-Effect,0.974471033,Enterprise customers
Hassan bowling,Product-Producer,0.963330388,digital experiences
main goal,Member-Collation,0.961244285,revenue targets
individual developers,Entity-Destination,0.940453708,hackathon work
only other thing,Message-Topic,0.939103305,employee growth
product talk,Message-Topic,0.915478587,events host events
R&D tax credits,Member-Collation,0.823164046,key hubs
developer Community match,Member-Collation,0.81825918,positive feedback
multiple customers,Product-Producer,0.817451477,customer adoption
API offerings,Component-Whole,0.813422143,bi dashboards
local community,Product-Producer,0.800850153,many people
customer adoption,Product-Producer,0.800057292,custom integration
weekly follow,Member-Collation,0.794161737,leadership team
own bandwidth,Product-Producer,0.780043483,custom instance
same lines,Cause-Effect,0.758238494,NPS scores
third quarter,Product-Producer,0.748679757,incredible growth
case evangelism,Instrument-Agency,0.741297901,right people
hackathon work,Product-Producer,0.731780946,more user adoption
Innovative products,Product-Producer,0.720711768,more platform perspective
quantitative analysis,Member-Collation,0.714025259,qualitative standpoint
third quarter,Instrument-Agency,0.707632303,last year
right processes,Message-Topic,0.70717591,weekly basis
time people,Component-Whole,0.703816712,multiple cities
product team,Cause-Effect,0.697609603,Technology knowledge
next number,Instrument-Agency,0.69279778,direct conversation
financial results,Instrument-Agency,0.688522458,third quarter
general counsel,Member-Collation,0.684380651,little bit
biggest customers,Cause-Effect,0.680105329,Sprint cycle
best capabilities,Member-Collation,0.673226774,product talk
Sprint cycle,Product-Producer,0.670872808,own company
third quarter,Instrument-Agency,0.659181178,third quarter
other channels,Product-Producer,0.658152878,own bandwidth
custom integration,Instrument-Agency,0.652101517,same lines
NPS score,Instrument-Agency,0.641345501,high number
high level,Instrument-Agency,0.639652431,consistent growth
September 30th,Product-Producer,0.638546228,employee expansion
current locations,Entity-Destination,0.632055819,fresh hires
gap analysis,Member-Collation,0.631187379,hackathon idea
only issues,Instrument-Agency,0.628738403,other developers
hideko value,Cause-Effect,0.627216458,good numbers
high NPS scores,Cause-Effect,0.620724797,same experience
time frame,Entity-Destination,0.597484589,general counsel
other things,Cause-Effect,0.595905542,only other thing
employee count,Message-Topic,0.584214687,right processes
positive view,Product-Producer,0.573823929,high NPS scores
right processes,Cause-Effect,0.559773266,right processes
employee expansion,Cause-Effect,0.550469398,new offerings
positive people,Member-Collation,0.550468206,Enterprise organization
major adoption,Cause-Effect,0.549551368,B2B SAS products
many people,Entity-Destination,0.544581831,current locations
product team,Entity-Destination,0.538574517,time zones
key hubs,Cause-Effect,0.523253679,multiple companies
key hubs,Cause-Effect,0.523253679,multiple companies
revenue targets,Message-Topic,0.512973964,level view
next quarter,Cause-Effect,0.508980155,financial highlights
multiple strategies,Member-Collation,0.504410326,additional layer
consistent growth,Instrument-Agency,0.497018725,great shape
more flows,Entity-Destination,0.496345133,customer feedback
last quarter,Entity-Origin,0.495213866,friendly locations
Enterprise customers,Product-Producer,0.489132971,more ads
Eastern side,Instrument-Agency,0.476436615,employee count
external stakeholders,Product-Producer,0.470280141,total revenue
global economies,Message-Topic,0.466417164,big presence
expensive supplements,Member-Collation,0.465393186,recruiting agency
communication Extension,Cause-Effect,0.459249109,adoption rate
big presence,Entity-Destination,0.455573559,Eastern side
recruiting agency,Member-Collation,0.454354614,local community
right people,Message-Topic,0.453627229,large community
custom instance,Cause-Effect,0.451062799,other customers
hackathon idea,Product-Producer,0.445007026,own work environment
company update,Entity-Destination,0.443356752,sales update
time zones,Cause-Effect,0.435465038,direct channel
more ads,Cause-Effect,0.427182198,Innovative products
total revenue,Product-Producer,0.426972926,third quarter
first step,Entity-Destination,0.420708507,different profile
total revenue,Message-Topic,0.413612694,API offerings
developer community,Message-Topic,0.408971101,product team
feedback crosses,Instrument-Agency,0.40332368,customer needs
customer side,Entity-Destination,0.397836924,quantitative analysis
different communities,Message-Topic,0.38914156,major adoption
same experience,Member-Collation,0.385658026,end users
positive feedback,Instrument-Agency,0.377493024,right balance
Revenue growth,Component-Whole,0.373191744,percent year
weekly basis,Instrument-Agency,0.369810998,weekly basis
custom implementations,Product-Producer,0.364763111,positive view
several options,Message-Topic,0.35674125,Enterprise deployments
conference rooms,Message-Topic,0.355960935,time frame
big conference,Component-Whole,0.351536572,next quarter
financial highlights,Message-Topic,0.345428497,external stakeholders
new era,Member-Collation,0.344641268,big conference
second quarter,Message-Topic,0.340766579,total revenue
level view,Message-Topic,0.339891195,executive summary
consistent Improvement,Cause-Effect,0.33790949,brand recognition
Technology knowledge,Cause-Effect,0.330393881,duct tapes
other option,Product-Producer,0.329411,time people
Corona virus,Entity-Destination,0.324396878,conference rooms
marketing initiative,Cause-Effect,0.318183869,consistent Improvement
Enterprise deployments,Message-Topic,0.307763249,multiple strategies
executive summary,Member-Collation,0.304426581,high level
first step,Entity-Destination,0.296175182,first step
last year,Product-Producer,0.29531616,Last year
right balance,Member-Collation,0.292706043,positive people
weird issue,Entity-Destination,0.276277274,financial results
customer feedback,Message-Topic,0.272596091,direct point
quantitative NPS score,Product-Producer,0.269006848,small dataset
Revenue targets,Cause-Effect,0.266612411,Revenue targets
example changes,Instrument-Agency,0.264512032,feedback crosses
dev team,Product-Producer,0.259608716,other things
digital experiences,Instrument-Agency,0.25940612,new era
bi dashboards,Product-Producer,0.25921911,new introductions
high number,Cause-Effect,0.259115368,consistent growth
Enterprise customer side,Member-Collation,0.252047211,developer Community match
large community,Cause-Effect,0.246388823,huge Community
other few product managers,Cause-Effect,0.245541692,case evangelism
brand recognition,Member-Collation,0.243133217,new name
remote teams,Cause-Effect,0.242375299,best way
employee growth,Instrument-Agency,0.241076365,profile side
own company,Cause-Effect,0.239766732,only issues
direct point,Member-Collation,0.226104572,developer community
new name,Message-Topic,0.20948717,hideko value
other developers,Entity-Origin,0.209126651,whole lot
percent year,Product-Producer,0.204526067,Hassan bowling
own work environment,Message-Topic,0.195689097,individual developers
multiple cities,Entity-Destination,0.191897139,strong opinion
qualitative standpoint,Cause-Effect,0.191659957,quantitative NPS score
monthly follow,Message-Topic,0.181266323,weekly basis
other customers,Product-Producer,0.178080037,day processes
additional layer,Instrument-Agency,0.16647248,other option
Last year,Product-Producer,0.159818739,second quarter
